4.236123874799675448e+00,1.122197135141795865e+00,2.240160789123659235e+00,-4.197635342570469330e-01,8.234287250785411461e-01,-3.796990714723723070e-01,1.153543230521474783e+00,1.501432281534748947e+00,5.366365187727780039e+00,1.150000000000000000e+01,5.271272526706598072e+00,-3.918653938193600972e+00,-5.696604248663256875e+00,-1.436835984831891511e-01,3.798778887275267580e-01
3.010653160339346712e+00,1.122197135141795865e+00,2.240160789123659235e+00,-9.431686951232006733e-01,2.819567785584692565e+00,5.303166430523205133e-01,6.211339116837344854e+00,1.501432281534749391e+00,5.366365187727780928e+00,1.003333333333333321e+01,5.110354886599928648e+00,-3.918653938193600972e+00,-7.550382219601043055e+00,-5.384045967803473554e-01,7.514004160166661839e-01
1.900128796891017657e+00,1.122197135141795865e+00,2.240160789123659235e+00,-1.503208315158195196e+00,4.543875742946217322e+00,-9.828795559265912640e-01,5.100900294411766289e+00,1.501432281534749391e+00,5.366365187727780039e+00,8.533333333333333215e+00,5.227045794210889440e+00,-3.918653938193600972e+00,-8.292577495056601578e+00,-8.871097186473023699e-01,8.855767984884623800e-01
7.321282974094032170e-01,1.122197135141795421e+00,2.240160789123659679e+00,-2.071982251629965077e+00,3.695527914844013662e+00,-3.177744969881408643e+00,3.932987199130109524e+00,1.501432281534749169e+00,5.366365187727780928e+00,7.049999999999999822e+00,5.355812635642719144e+00,-3.918653938193600972e+00,-8.111069191708859094e+00,-7.371498007932671959e-01,9.532163677101023191e-01
5.732368066799882200e+00,1.122197135141794977e+00,2.240160789123659235e+00,-2.611028297260744591e+00,1.497384279143225472e+00,-3.137518100290950684e+00,2.650124827853961307e+00,1.501432281534748947e+00,5.366365187727780039e+00,5.599999999999999645e+00,5.308743052330322953e+00,-3.918653938193600972e+00,-7.877766241873296771e+00,-2.873334836936565773e-01,1.226329071506758073e+00
4.277008559830363765e+00,1.122197135141794755e+00,2.240160789123659679e+00,-3.085019693417044628e+00,9.534811464325666508e-01,-1.099711489916109564e+00,1.194838148164404146e+00,1.501432281534749169e+00,5.366365187727780039e+00,4.200000000000000178e+00,5.250707891755116208e+00,-3.918653938193600972e+00,-8.398072727457414288e+00,-1.761196518015462897e-01,1.665499247537490568e+00
2.994135786956746870e+00,1.122197135141794977e+00,2.240160789123659679e+00,-3.072961944751581687e+00,9.431993325913591297e-01,-1.188266711001939813e+00,6.195162369205920783e+00,1.501432281534748947e+00,5.366365187727780039e+00,2.750000000000000000e+00,5.115658788557507108e+00,-3.918653938193600972e+00,-8.398072727457414288e+00,-1.761196518015462897e-01,1.665499247537490568e+00
1.826288831188970008e+00,1.122197135141794755e+00,2.240160789123659235e+00,-2.513870761718053792e+00,-5.592011144677266898e-01,5.982271657819876465e-01,5.027251941718438921e+00,1.501432281534748725e+00,5.366365187727780039e+00,1.266666666666666607e+00,5.184478897251716845e+00,-3.918653938193600972e+00,-8.241395570304396401e+00,1.453204156413321346e-01,1.544141712937307620e+00
4.285410734197645510e-01,1.122197135141794755e+00,2.240160789123660123e+00,-1.949379964939808030e+00,7.312554255569980732e-01,2.400030211476822828e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.302364349766294449e+00,1.122197135141794533e+00,2.240160789123660123e+00,-1.348300766758982361e+00,-1.216903517655672395e+00,1.080240592224507745e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
